n,e1,e2,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
15,0.50,0.40,0.23178044466391814,0.6300000000000001,0.004258546762936687,0.37220584137945706,0.21249999999999997,0.52323234470216,0.27619623508688135
20,0.50,0.40,0.23206950852438255,0.6475000000000001,0.003967318495464252,0.385371836953656,0.22499999999999995,0.5184988052340249,0.2822920538263563
25,0.50,0.40,0.22167446533842233,0.575,0.006333964504053931,0.4118884797645454,0.225,0.5629772034413301,0.33229673466419124
30,0.50,0.40,0.22958596178113208,0.5799999999999998,0.005979438545929752,0.36776399305159335,0.26249999999999996,0.5924731132860253,0.33794397933115833
35,0.50,0.40,0.2162368976147467,0.59,0.009220443399967642,0.3959401572217766,0.24999999999999994,0.637362708256548,0.3877258432302685
5,0.20,0.10,0.05092479054921277,0.07500000000000001,0.03406669324174992,6.3379576850855655,0.13749999999999998,0.9867715912239807,0.8244089807234326
10,0.20,0.10,0.09780527937356329,0.6449999999999999,0.009999067945903382,2.5244816177295393,0.12499999999999997,0.7033121103985491,0.6564241857504383
15,0.20,0.10,0.12008348503353379,0.785,0.0027094218533859514,1.018759064006343,0.275,0.5097846103644319,0.4874253380326127
20,0.20,0.10,0.1273757066878217,0.7450000000000001,0.0034717512193369964,0.7709288172948736,0.2125,0.4964793723758518,0.4648704643002392
25,0.20,0.10,0.13249801261876792,0.7725000000000001,0.002511977870419728,0.8301999090505834,0.16249999999999998,0.5218165115425553,0.47385464057508964
30,0.20,0.10,0.12358489870158747,0.71,0.005399984148269284,0.8919403391082026,0.19999999999999998,0.58942552093956,0.4670215648812164
35,0.20,0.10,0.12786264474839829,0.5174999999999998,0.007265624583830668,1.0541354049234737,0.16249999999999998,0.6333814669106287,0.49745531633533835
5,0.50,0.10,0.16917921253028775,0.78,0.0010880677503285895,0.5124701680600333,0.225,0.36026540456771167,0.40059372423375617
10,0.50,0.10,0.14281097933813602,0.76,0.0018468085395105843,0.5632567109289849,0.3375,0.38828555059801595,0.3610943407896811
15,0.50,0.10,0.1412563941809339,0.7700000000000001,0.002206921468230365,0.5995311197401323,0.3125,0.42073529182835323,0.36701612756991564
20,0.50,0.10,0.13870223629442663,0.7474999999999999,0.0023831470665101754,0.7009306938098472,0.2875,0.4863321405962199,0.39357302534094535
25,0.50,0.10,0.13090065739243717,0.7625000000000001,0.0027159098382060964,0.6394424048014697,0.3,0.5321537672356254,0.40064657478557464
30,0.50,0.10,0.1376745791968475,0.76,0.0035352143817241827,0.6865812162436546,0.3125,0.5145748184635369,0.4066254131480086
35,0.50,0.10,0.11984300751383084,0.7225,0.004647846209235347,0.8922676153382387,0.2375,0.5770854322484582,0.44720725937217676
5,0.10,0.50,0.21070554405733888,0.7050000000000001,0.007850934281293461,0.6543883935044013,0.18749999999999997,0.6753350660295454,0.460836456659307
10,0.10,0.50,0.22537551762077665,0.7099999999999999,0.0052849816817502745,0.45963944772139165,0.2625,0.5752452019154093,0.35535612028109725
15,0.10,0.50,0.2364221657695686,0.7325,0.00537068528961155,0.5015917965922214,0.2375,0.5188939661068782,0.34112674840650925
20,0.10,0.50,0.21274674641553276,0.7075,0.00744497213664218,0.40925625401813104,0.25,0.5290724400938778,0.37633745794082835
25,0.10,0.50,0.22620485093294912,0.6325000000000001,0.009190545658086148,0.38072631947598096,0.09999999999999998,0.5934510568535929,0.40830131733839314
30,0.10,0.50,0.2205804012137925,0.7324999999999999,0.004725931422534845,0.3647561600476089,0.2375,0.5232882829955364,0.3354318798370841
35,0.10,0.50,0.1887700923240601,0.625,0.012666259162400195,0.3537654442312147,0.2625,0.6249096819078753,0.4158487323008152
5,0.40,0.10,0.14556152246612794,0.8,0.0011962783455734777,1.1404938257873984,0.2375,0.42095004598094315,0.4820070520734615
10,0.40,0.10,0.14685614339588735,0.7649999999999999,0.0017157355006258812,0.5703146783169367,0.3125,0.4058209839151539,0.3514598332369846
15,0.40,0.10,0.13757334931503068,0.7825000000000001,0.0018435152374819304,0.7245138181241716,0.275,0.43357345032771344,0.3914418432596563
20,0.40,0.10,0.1320126395266577,0.7575,0.0025187212924843534,0.571751350112254,0.26249999999999996,0.4642597445655948,0.37286887002141267
25,0.40,0.10,0.13331198124426613,0.7575000000000001,0.002345953381627754,0.621286234262557,0.3,0.4630984461787258,0.3801901602220188
30,0.40,0.10,0.12670919034595432,0.64,0.00431924147980328,0.7389147514403638,0.225,0.5480418619405427,0.4375948954055483
35,0.40,0.10,0.12604323323937766,0.7549999999999999,0.003666296520068587,0.778826415769366,0.275,0.5117399954560108,0.4162322079178858
5,0.30,0.10,0.05840294104031676,0.12250000000000001,0.03272720481844767,5.269508058188178,0.16249999999999998,0.9572905170393866,0.7934927382685821
10,0.30,0.10,0.13910209077452676,0.7950000000000002,0.0016638856936492259,0.780997388563733,0.3,0.41492943859120707,0.4237416268165994
15,0.30,0.10,0.13472836035139898,0.7525000000000001,0.0028652327919555846,0.6081610510278341,0.31249999999999994,0.45201005830959434,0.38224460650667724
20,0.30,0.10,0.13015883803864553,0.7625,0.002479994149112464,0.6446771294097337,0.2875,0.4637270715315903,0.40986440835139
25,0.30,0.10,0.13648340148563212,0.75,0.003415648764782417,0.7725570978491263,0.175,0.5326376354539046,0.46702897149318756
30,0.30,0.10,0.12821145064169087,0.7575000000000001,0.002792560024546603,0.684898724030219,0.2875,0.4947181328382094,0.39991705107092984
35,0.30,0.10,0.10390157211013326,0.7300000000000001,0.0036962267384843734,0.7573851830161678,0.3125,0.5568777337094012,0.4037694208252354
5,0.10,0.40,0.1692288692093335,0.6900000000000001,0.005406561610261098,1.3689170411215625,0.225,0.7146379800435287,0.5530848613119853
10,0.10,0.40,0.17545817381180723,0.7050000000000001,0.005323623344213742,0.6331853282936418,0.14999999999999997,0.6354066675559877,0.49211966354593956
15,0.10,0.40,0.2200182220504901,0.6799999999999999,0.009257220332656907,0.4710500821554816,0.2,0.5929041180763834,0.4102342036167987
20,0.10,0.40,0.19317408140195466,0.7274999999999999,0.00830612663270382,0.4272118703008555,0.2375,0.5844123990294905,0.3650995449542657
25,0.10,0.40,0.19752338929717167,0.6825,0.009741644465338413,0.4178973316833998,0.225,0.55806842010251,0.38756137309539074
30,0.10,0.40,0.21059582890057021,0.6225,0.010007501815894658,0.3679607638709215,0.225,0.5700581927700143,0.4245362462135911
35,0.10,0.40,0.20757103622853879,0.7175000000000001,0.004916983074940968,0.3720665669912172,0.2375,0.49266272177784726,0.32334546821576426
5,0.40,0.30,0.23824587521198737,0.7350000000000001,0.0031155729036894354,0.4174228126526317,0.25,0.39930782787139546,0.3260737107394817
10,0.40,0.30,0.21484307042472514,0.7375,0.0018204993573798117,0.35170819076423776,0.2875,0.4516150992920941,0.2924789716612902
15,0.40,0.30,0.19597853928558734,0.715,0.003508031882105917,0.35233914554665546,0.2375,0.48924561121645127,0.31103240435677687
20,0.40,0.30,0.20608351933442798,0.7375,0.004057238672800654,0.34932216730427784,0.18749999999999997,0.5213811914759107,0.29533218266359335
25,0.40,0.30,0.19415786738593888,0.6599999999999999,0.005984716856763019,0.36932581352362853,0.2125,0.5263756439639943,0.34983349274825104
30,0.40,0.30,0.19386910612014258,0.7000000000000001,0.005233753226300547,0.3965042814231447,0.2875,0.514270015394134,0.32597428134220446
35,0.40,0.30,0.1887660823370707,0.7025,0.006567199146175743,0.3501179501148374,0.325,0.551845293311173,0.37808473945766874
5,0.30,0.30,0.1927414628518705,0.6649999999999999,0.006008488869462954,0.8461893000357629,0.25,0.5901981246513665,0.44672842884052877
10,0.30,0.30,0.21718948499504162,0.745,0.002949027020708257,0.3903707410514573,0.275,0.44540376916543023,0.29911131595046025
